Column Name,Data Type,Missing Values,Unique Values
OBJECTID,int64,0,37178
EVENT_UNIQUE_ID,object,0,33266
PRIMARY_OFFENCE,object,0,77
OCC_DATE,object,0,3823
OCC_YEAR,int64,0,19
OCC_MONTH,object,0,12
OCC_DOW,object,0,7
OCC_DAY,int64,0,31
OCC_DOY,int64,0,366
OCC_HOUR,int64,0,24
REPORT_DATE,object,0,3800
REPORT_YEAR,int64,0,11
REPORT_MONTH,object,0,12
REPORT_DOW,object,0,7
REPORT_DAY,int64,0,31
REPORT_DOY,int64,0,366
REPORT_HOUR,int64,0,24
DIVISION,object,0,18
LOCATION_TYPE,object,0,47
PREMISES_TYPE,object,0,7
BIKE_MAKE,object,183,1221
BIKE_MODEL,object,13707,11488
BIKE_TYPE,object,0,13
BIKE_SPEED,float64,1135,71
BIKE_COLOUR,object,3292,283
BIKE_COST,float64,2490,2194
STATUS,object,0,3
HOOD_158,object,0,159
NEIGHBOURHOOD_158,object,0,159
HOOD_140,object,0,141
NEIGHBOURHOOD_140,object,0,141
LONG_WGS84,float64,0,7150
LAT_WGS84,float64,0,7150
x,float64,0,7149
y,float64,0,7149
